GICS Code,Name,Tickers,Mapping Type,Parent Sector
101010,Energy Equipment & Services,"XES, IEZ",Direct,Energy
101020,"Oil, Gas & Consumable Fuels","XOP, IEO",Direct,Energy
151010,Chemicals,"XLB, VAW",Direct,Materials
151020,Construction Materials,"XLB, VAW",Industry Group Fallback,Materials
151030,Containers & Packaging,"XLB, VAW",Industry Group Fallback,Materials
151040,Metals & Mining,"XME, PICK",Direct,Materials
151050,Paper & Forest Products,"XLB, VAW",Industry Group Fallback,Materials
201010,Aerospace & Defense,"ITA, XAR, PPA",Direct,Industrials
201020,Building Products,"XLI, VIS",Industry Group Fallback,Industrials
201030,Construction & Engineering,"XLI, VIS",Industry Group Fallback,Industrials
201040,Electrical Equipment,"XLI, VIS",Industry Group Fallback,Industrials
201050,Industrial Conglomerates,"XLI, VIS",Industry Group Fallback,Industrials
201060,Machinery,"XLI, VIS",Industry Group Fallback,Industrials
201070,Trading Companies & Distributors,"XLI, VIS",Industry Group Fallback,Industrials
202010,Commercial Services & Supplies,"XLI, IJB",Industry Group Fallback,Industrials
202020,Professional Services,"XLI, IJB",Industry Group Fallback,Industrials
203010,Air Freight & Logistics,"IYT, XTN",Industry Group Fallback,Industrials
203020,Passenger Airlines,JETS,Direct,Industrials
203030,Marine Transportation,"IYT, XTN",Industry Group Fallback,Industrials
203040,Ground Transportation,"IYT, XTN",Industry Group Fallback,Industrials
203050,Transportation Infrastructure,"IYT, XTN",Industry Group Fallback,Industrials
251010,Automobile Components,"CARZ, DRIV",Industry Group Fallback,Consumer Discretionary
251020,Automobiles,"CARZ, DRIV",Industry Group Fallback,Consumer Discretionary
252010,Household Durables,"XHB, ITB, XRT",Industry Group Fallback,Consumer Discretionary
252020,Leisure Products,"XHB, ITB, XRT",Industry Group Fallback,Consumer Discretionary
252030,"Textiles, Apparel & Luxury Goods","XHB, ITB, XRT",Industry Group Fallback,Consumer Discretionary
253010,"Hotels, Restaurants & Leisure","PEJ, BJK",Industry Group Fallback,Consumer Discretionary
253020,Diversified Consumer Services,"PEJ, BJK",Industry Group Fallback,Consumer Discretionary
255010,Distributors,XRT,Industry Group Fallback,Consumer Discretionary
255030,Broadline Retail,XRT,Industry Group Fallback,Consumer Discretionary
255040,Specialty Retail,XRT,Industry Group Fallback,Consumer Discretionary
301010,Consumer Staples Distribution & Retail,"XLP, XRT",Industry Group Fallback,Consumer Staples
302010,Beverages,"PBJ, FTXG",Industry Group Fallback,Consumer Staples
302020,Food Products,"PBJ, FTXG",Industry Group Fallback,Consumer Staples
302030,Tobacco,"PBJ, FTXG",Industry Group Fallback,Consumer Staples
303010,Household Products,"XLP, VDC, IYK",Sector Fallback,Consumer Staples
303020,Personal Care Products,"XLP, VDC, IYK",Sector Fallback,Consumer Staples
351010,Health Care Equipment & Supplies,"XHE, IHI",Industry Group Fallback,Health Care
351020,Health Care Providers & Services,"XHE, IHI",Industry Group Fallback,Health Care
351030,Health Care Technology,"XHE, IHI",Industry Group Fallback,Health Care
352010,Biotechnology,"XBI, IBB",Direct,Health Care
352020,Pharmaceuticals,"XPH, IHE, PJP",Direct,Health Care
352030,Life Sciences Tools & Services,"XBI, IBB, XPH",Industry Group Fallback,Health Care
401010,Banks,KBE,Direct,Financials
402010,Financial Services,"KCE, IAI",Industry Group Fallback,Financials
402020,Consumer Finance,"KCE, IAI",Industry Group Fallback,Financials
402030,Capital Markets,"KCE, IAI",Industry Group Fallback,Financials
402040,Mortgage Real Estate Investment Trusts (REITs),"KCE, IAI",Industry Group Fallback,Financials
403010,Insurance,"KIE, IAK",Industry Group Fallback,Financials
451020,IT Services,"XSW, IGV",Industry Group Fallback,Information Technology
451030,Software,"XSW, IGV",Industry Group Fallback,Information Technology
452010,Communications Equipment,XITK,Industry Group Fallback,Information Technology
452020,"Technology Hardware, Storage & Peripherals",XITK,Industry Group Fallback,Information Technology
452030,"Electronic Equipment, Instruments & Components",XITK,Industry Group Fallback,Information Technology
453010,Semiconductors & Semiconductor Equipment,"SMH, SOXX, XSD",Direct,Information Technology
501010,Diversified Telecommunication Services,XTL,Industry Group Fallback,Communication Services
502010,Media,"PBS, XLC",Industry Group Fallback,Communication Services
502020,Entertainment,"PBS, XLC",Industry Group Fallback,Communication Services
502030,Interactive Media & Services,"PBS, XLC",Industry Group Fallback,Communication Services
551010,Electric Utilities,"XLU, IDU",Direct,Utilities
551020,Gas Utilities,"XLU, VPU, IDU",Sector Fallback,Utilities
551030,Multi-Utilities,"XLU, VPU, IDU",Sector Fallback,Utilities
551040,Water Utilities,"XLU, VPU, IDU",Sector Fallback,Utilities
551050,Independent Power and Renewable Electricity Producers,"XLU, VPU, IDU",Sector Fallback,Utilities
601010,Diversified REITs,"VNQ, XLRE",Direct,Real Estate
601025,Industrial REITs,"XLRE, VNQ, IYR",Sector Fallback,Real Estate
601030,Hotel & Resort REITs,"XLRE, VNQ, IYR",Sector Fallback,Real Estate
601040,Office REITs,"XLRE, VNQ, IYR",Sector Fallback,Real Estate
601050,Health Care REITs,"XLRE, VNQ, IYR",Sector Fallback,Real Estate
601060,Residential REITs,"XLRE, VNQ, IYR",Sector Fallback,Real Estate
601070,Retail REITs,"XLRE, VNQ, IYR",Sector Fallback,Real Estate
601080,Specialized REITs,"XLRE, VNQ, IYR",Sector Fallback,Real Estate
602010,Real Estate Management & Development,"XLRE, VNQ, IYR",Sector Fallback,Real Estate
