行业板块 (Sector),ETF 简称 (Ticker),对应指数名称 (S&P Index)
科技 (Technology),XLK,S&P Information Technology Select Sector Index
金融 (Financials),XLF,S&P Financial Select Sector Index
医疗 (Health Care),XLV,S&P Health Care Select Sector Index
可选消费 (Discretionary),XLY,S&P Consumer Discretionary Select Sector Index
通信服务 (Communication),XLC,S&P Communication Services Select Sector Index
工业 (Industrials),XLI,S&P Industrial Select Sector Index
必需消费 (Staples),XLP,S&P Consumer Staples Select Sector Index
能源 (Energy),XLE,S&P Energy Select Sector Index
公用事业 (Utilities),XLU,S&P Utilities Select Sector Index
材料 (Materials),XLB,S&P Materials Select Sector Index
房地产 (Real Estate),XLRE,S&P Real Estate Select Sector Index
