GICS Code,Name,Tickers,Mapping Type,Parent Industry,Parent Sector
10101010,Oil & Gas Drilling,IEZ,Direct,Energy Equipment & Services,Energy
10101020,Oil & Gas Equipment & Services,"XES, IEZ",Industry Fallback,Energy Equipment & Services,Energy
10102010,Integrated Oil & Gas,"XOP, IEO",Industry Fallback,"Oil, Gas & Consumable Fuels",Energy
10102020,Oil & Gas Exploration & Production,"XOP, IEO",Industry Fallback,"Oil, Gas & Consumable Fuels",Energy
10102030,Oil & Gas Refining & Marketing,"XOP, IEO",Industry Fallback,"Oil, Gas & Consumable Fuels",Energy
10102040,Oil & Gas Storage & Transportation,"XOP, IEO",Industry Fallback,"Oil, Gas & Consumable Fuels",Energy
10102050,Coal & Consumable Fuels,"XOP, IEO",Industry Fallback,"Oil, Gas & Consumable Fuels",Energy
15101010,Commodity Chemicals,"XLB, VAW",Industry Fallback,Chemicals,Materials
15101020,Diversified Chemicals,"XLB, VAW",Industry Fallback,Chemicals,Materials
15101030,Fertilizers & Agricultural Chemicals,"XLB, VAW",Industry Fallback,Chemicals,Materials
15101040,Industrial Gases,"XLB, VAW",Industry Fallback,Chemicals,Materials
15101050,Specialty Chemicals,"XLB, VAW",Industry Fallback,Chemicals,Materials
15102010,Construction Materials,"XLB, VAW",Industry Group Fallback,Construction Materials,Materials
15103010,"Metal, Glass & Plastic Containers","XLB, VAW",Industry Group Fallback,Containers & Packaging,Materials
15103020,Paper & Plastic Packaging Products & Materials,"XLB, VAW",Industry Group Fallback,Containers & Packaging,Materials
15104010,Aluminum,"XME, PICK",Industry Fallback,Metals & Mining,Materials
15104020,Diversified Metals & Mining,"XME, PICK",Industry Fallback,Metals & Mining,Materials
15104025,Copper,COPX,Direct,Metals & Mining,Materials
15104030,Gold,"GDX, GDXJ",Direct,Metals & Mining,Materials
15104040,Precious Metals & Minerals,"XME, PICK",Industry Fallback,Metals & Mining,Materials
15104045,Silver,"SIL, SILJ",Direct,Metals & Mining,Materials
15104050,Steel,SLX,Direct,Metals & Mining,Materials
